iter	Passed	Remaining
309	1946	4333
310	1952	4325
311	1957	4316
312	1962	4307
313	1967	4298
314	1972	4289
315	1977	4281
316	1983	4272
317	1988	4263
318	1993	4254
319	1998	4245
320	2003	4237
321	2008	4228
322	2013	4220
323	2018	4211
324	2023	4202
325	2028	4193
326	2033	4184
327	2038	4176
328	2045	4171
329	2051	4164
330	2057	4157
331	2062	4149
332	2067	4141
333	2072	4132
334	2079	4128
335	2084	4119
336	2089	4110
337	2094	4102
338	2099	4094
339	2104	4085
340	2109	4077
341	2114	4069
342	2119	4060
343	2124	4052
344	2129	4043
345	2134	4035
346	2140	4028
347	2145	4020
348	2150	4011
349	2156	4004
350	2161	3995
351	2166	3987
352	2172	3981
353	2177	3973
354	2182	3964
355	2187	3956
356	2192	3948
357	2197	3940
358	2202	3933
359	2207	3924
360	2212	3916
361	2217	3908
362	2222	3899
363	2227	3891
364	2232	3883
365	2238	3877
366	2244	3870
367	2250	3865
368	2255	3856
369	2260	3848
370	2265	3840
371	2271	3835
372	2276	3827
373	2282	3820
374	2288	3813
375	2293	3805
376	2298	3798
377	2318	3814
378	2323	3807
379	2328	3799
380	2333	3791
381	2338	3783
382	2343	3775
383	2348	3768
384	2354	3760
385	2358	3752
386	2364	3744
387	2369	3736
388	2374	3729
389	2380	3723
390	2385	3715
391	2390	3707
392	2395	3699
393	2400	3691
394	2405	3684
395	2410	3676
396	2415	3668
397	2420	3660
398	2425	3653
399	2430	3645
400	2435	3637
401	2441	3631
402	2447	3625
403	2453	3619
404	2459	3613
405	2464	3605
406	2469	3597
407	2474	3590
408	2481	3585
409	2486	3577
410	2491	3570
411	2496	3562
412	2501	3554
413	2505	3546
414	2511	3539
415	2516	3532
416	2521	3524
417	2525	3516
418	2530	3508
419	2535	3501
420	2542	3496
421	2547	3489
422	2552	3481
423	2557	3474
424	2562	3466
425	2567	3459
426	2572	3452
427	2578	3445
428	2583	3438
429	2588	3431
430	2593	3424
431	2599	3417
432	2604	3410
433	2609	3403
434	2614	3396
435	2628	3400
436	2638	3399
437	2646	3395
438	2653	3390
439	2658	3383
440	2663	3376
441	2668	3369
442	2675	3363
443	2681	3357
444	2686	3350
445	2692	3343
446	2697	3337
447	2702	3330
448	2708	3323
449	2713	3316
450	2718	3309
451	2723	3302
452	2729	3295
453	2734	3288
454	2739	3281
455	2745	3275
456	2750	3267
457	2755	3260
458	2760	3253
459	2765	3247
460	2772	3242
461	2778	3235
462	2783	3228
463	2789	3221
464	2793	3214
465	2799	3207
466	2804	3200
467	2809	3193
468	2814	3186
469	2820	3180
470	2825	3173
471	2831	3167
472	2837	3161
473	2843	3155
474	2852	3152
475	2857	3145
476	2862	3138
477	2869	3133
478	2874	3126
479	2879	3119
480	2885	3113
481	2891	3106
482	2896	3100
483	2901	3093
484	2906	3086
485	2911	3079
486	2917	3073
487	2922	3066
488	2927	3059
489	2935	3054
490	2940	3047
491	2945	3041
492	2950	3034
493	2956	3027
494	2961	3021
495	2967	3015
496	2972	3008
497	2977	3001
498	2983	2995
499	2989	2989
500	2994	2982
501	2999	2975
502	3006	2970
503	3011	2963
504	3017	2957
505	3022	2950
506	3028	2944
507	3034	2939
508	3041	2934
509	3046	2927
510	3051	2920
511	3057	2914
512	3062	2907
513	3067	2900
514	3073	2894
515	3078	2887
516	3083	2880
517	3088	2874
518	3093	2867
519	3098	2860
520	3104	2853
521	3109	2847
522	3115	2841
523	3121	2835
524	3126	2828
525	3132	2822
526	3137	2816
527	3142	2809
528	3151	2805
529	3156	2798
530	3161	2792
531	3166	2785
532	3171	2778
533	3176	2772
534	3181	2765
535	3186	2758
536	3192	2752
537	3197	2745
538	3201	2738
539	3206	2731
540	3212	2725
541	3217	2718
542	3223	2712
543	3230	2708
544	3236	2701
545	3244	2697
546	3250	2691
547	3255	2685
548	3260	2678
549	3266	2672
550	3271	2665
551	3276	2658
552	3282	2653
553	3287	2646
554	3292	2639
555	3297	2633
556	3302	2626
557	3307	2620
558	3312	2613
559	3317	2606
560	3323	2600
561	3330	2595
562	3335	2589
563	3340	2582
564	3346	2576
565	3351	2569
566	3356	2563
567	3361	2556
568	3366	2550
569	3371	2543
570	3376	2537
571	3381	2530
572	3386	2523
573	3393	2518
574	3398	2511
575	3403	2505
576	3408	2499
577	3413	2492
578	3418	2485
579	3426	2480
580	3431	2474
581	3440	2471
582	3445	2464
583	3450	2458
584	3456	2452
585	3461	2445
586	3466	2438
587	3472	2432
588	3477	2426
589	3482	2420
590	3489	2414
591	3494	2408
592	3499	2401
593	3504	2395
594	3509	2388
595	3514	2382
596	3519	2375
597	3524	2369
598	3529	2362
599	3534	2356
600	3539	2349
601	3544	2343
602	3549	2337
603	3554	2330
604	3559	2324
605	3564	2317
606	3570	2311
607	3575	2304
608	3580	2298
609	3585	2292
610	3590	2285
611	3596	2280
612	3601	2273
613	3606	2267
614	3611	2260
615	3616	2254
616	3621	2247
617	3626	2241
618	3633	2236
619	3638	2230
620	3645	2224
621	3650	2218
622	3655	2211
623	3660	2205
624	3665	2199
625	3670	2193
626	3676	2186
627	3681	2180
628	3686	2174
629	3691	2168
630	3698	2162
631	3703	2156
632	3708	2149
633	3714	2144
634	3719	2138
635	3724	2131
636	3747	2135
637	3751	2128
638	3757	2122
639	3762	2116
640	3767	2109
641	3772	2103
642	3777	2097
643	3782	2091
644	3787	2084
645	3793	2079
646	3799	2072
647	3803	2066
648	3810	2060
649	3815	2054
650	3819	2047
651	3827	2042
652	3832	2036
653	3838	2030
654	3844	2025
655	3849	2018
656	3855	2013
657	3860	2006
658	3865	2000
659	3871	1994
660	3876	1987
661	3881	1981
662	3886	1975
663	3891	1969
664	3896	1962
665	3901	1956
666	3906	1950
667	3911	1944
668	3916	1937
669	3922	1931
670	3927	1925
671	3932	1919
672	3937	1913
673	3942	1906
674	3947	1900
675	3952	1894
676	3957	1888
677	3962	1881
678	3967	1875
679	3972	1869
680	3977	1863
681	3983	1857
682	3988	1851
683	3993	1844
684	3999	1839
685	4005	1833
686	4010	1827
687	4016	1821
688	4022	1815
689	4029	1810
690	4034	1804
691	4039	1798
692	4045	1792
693	4050	1786
694	4056	1780
695	4061	1774
696	4067	1768
697	4072	1762
698	4078	1756
699	4083	1750
700	4089	1744
701	4094	1738
702	4099	1732
703	4105	1726
704	4112	1720
705	4117	1714
706	4123	1708
707	4128	1702
708	4133	1696
709	4138	1690
710	4144	1684
711	4149	1678
712	4155	1672
713	4160	1666
714	4166	1660
715	4172	1654
716	4177	1648
717	4182	1642
718	4188	1636
719	4193	1630
720	4198	1624
721	4204	1618
722	4209	1612
723	4215	1607
724	4223	1602
725	4230	1596
726	4236	1590
727	4241	1584
728	4246	1578
729	4252	1572
730	4257	1566
731	4263	1560
732	4268	1554
733	4274	1549
734	4279	1542
735	4284	1536
736	4289	1530
737	4295	1524
738	4300	1518
739	4306	1512
740	4312	1507
741	4317	1501
742	4322	1495
743	4328	1489
744	4333	1483
745	4338	1477
746	4344	1471
747	4349	1465
748	4354	1459
749	4359	1453
750	4364	1447
751	4370	1441
752	4375	1435
753	4380	1429
754	4386	1423
755	4392	1417
756	4398	1411
757	4404	1406
758	4410	1400
759	4416	1394
760	4425	1389
761	4431	1384
762	4467	1387
763	4477	1383
764	4484	1377
765	4490	1371
766	4496	1365
767	4502	1360
768	4508	1354
769	4514	1348
770	4520	1342
771	4527	1337
772	4533	1331
773	4539	1325
774	4545	1319
775	4551	1313
776	4557	1307
777	4563	1302
778	4568	1296
779	4574	1290
780	4580	1284
781	4586	1278
782	4591	1272
783	4597	1266
784	4603	1260
785	4609	1254
786	4614	1248
787	4620	1243
788	4627	1237
789	4633	1231
790	4641	1226
791	4648	1220
792	4654	1215
793	4661	1209
794	4668	1203
795	4674	1197
796	4680	1192
797	4687	1186
798	4693	1180
799	4700	1175
800	4706	1169
801	4712	1163
802	4718	1157
803	4724	1151
804	4730	1145
805	4737	1140
806	4743	1134
807	4749	1128
808	4755	1122
809	4761	1116
810	4767	1111
811	4774	1105
812	4780	1099
813	4786	1093
814	4793	1088
815	4799	1082
816	4805	1076
817	4812	1070
818	4818	1064
819	4825	1059
820	4832	1053
821	4839	1047
822	4846	1042
823	4853	1036
824	4860	1030
825	4866	1025
826	4872	1019
827	4879	1013
828	4886	1007
829	4892	1002
830	4899	996
831	4905	990
832	4911	984
833	4918	978
834	4924	973
835	4931	967
836	4938	961
837	4945	956
838	4951	950
839	4958	944
840	4965	938
841	4971	932
842	4978	927
843	4984	921
844	4991	915
845	4997	909
846	5003	903
847	5010	898
848	5016	892
849	5023	886
850	5029	880
851	5036	874
852	5042	869
853	5051	863
854	5057	857
855	5063	851
856	5070	846
857	5076	840
858	5083	834
859	5089	828
860	5095	822
861	5101	816
862	5107	810
863	5113	804
864	5119	799
865	5125	793
866	5132	787
867	5138	781
868	5144	775
869	5150	769
870	5156	763
871	5163	757
872	5179	753
873	5186	747
874	5192	741
875	5198	735
876	5204	729
877	5210	724
878	5216	718
879	5222	712
880	5228	706
881	5234	700
882	5241	694
883	5247	688
884	5255	682
885	5262	677
886	5268	671
887	5275	665
888	5281	659
889	5286	653
890	5293	647
891	5298	641
892	5305	635
893	5311	629
894	5317	623
895	5323	617
896	5329	612
897	5335	606
898	5341	600
899	5347	594
900	5355	588
901	5361	582
902	5367	576
903	5373	570
904	5379	564
905	5386	558
906	5392	552
907	5398	546
908	5404	541
909	5411	535
910	5417	529
911	5423	523
912	5430	517
913	5436	511
914	5442	505
915	5450	499
916	5456	493
917	5464	488
918	5471	482
919	5477	476
920	5484	470
921	5491	464
922	5497	458
923	5504	452
924	5510	446
925	5516	440
926	5523	434
927	5529	429
928	5536	423
929	5542	417
930	5549	411
931	5555	405
932	5561	399
933	5568	393
934	5574	387
935	5581	381
936	5588	375
937	5594	369
938	5601	363
939	5606	357
940	5611	351
941	5616	345
942	5622	339
943	5627	333
944	5633	327
945	5639	321
946	5644	315
947	5649	309
948	5657	304
949	5664	298
950	5671	292
951	5677	286
952	5683	280
953	5688	274
954	5694	268
955	5700	262
956	5706	256
957	5712	250
958	5718	244
959	5725	238
960	5732	232
961	5738	226
962	5744	220
963	5750	214
964	5757	208
965	5763	202
966	5770	196
967	5776	190
968	5782	184
969	5788	179
970	5795	173
971	5800	167
972	5806	161
973	5812	155
974	5819	149
975	5825	143
976	5831	137
977	5837	131
978	5843	125
979	5850	119
980	5856	113
981	5862	107
982	5869	101
983	5875	95
984	5884	89
985	5890	83
986	5896	77
987	5915	71
988	5922	65
989	5928	59
990	5935	53
991	5940	47
992	5946	41
993	5951	35
994	5957	29
995	5962	23
996	5967	17
997	5973	11
998	5978	5
999	5984	0
